Question,Answer
你最近的精神状态怎么样？,精神状态堪忧
你听说过这种东西吗？,我没听说过这玩意
天津有哪些有代表性的菜？,天津菜比较有代表性的是八珍豆腐、老爆三、新爆三、全爆、八大碗
你对这种情况有了解吗？,这个确实没听过
你觉得操盘手在市场中发挥的作用是什么？,操盘手 7-1
你觉得这种行为怎么样？,这种是非常 low 的
大模型和显卡之间有什么联系？,大模型，显卡，这是一条线
这节课的内容和之前有什么联系吗？,不是在那节课续
这节课可以作为钩子来使用吗？,是用那节课做个钩子
你对100节课的精彩程度有什么看法？,就是 100 节特精彩
续第三年的课程内容是什么？,想听就要续第三年的
你对这件事情有什么期盼吗？,我挺期盼的
这件事已经过去了吗？,那早就过了
两年半的时间里发生了什么？,两年半多才能有一次整百，不容易的
每周高见一共做了多少期？,每周高见当时做了 109 期
两年半的时间你觉得如何？,差不多是两年半
你知道什么是一坤年十八吗？,是，一坤年十八
这个决定权在你们吗？,这个的决定权在你们，不在于我
水手服的红披肩有变化吗？,有些地方变成水手服的红披肩了
你用的是什么工具？,我用的这个
这种东西方便吗？,这东西可以自己定义代理规则，比较方便
你每月的流量够用吗？,我用的这个每月 100g 流量，一年 99 块
你觉得这个流量包怎么样？,常规需求都够用了
有人有计划的解构一些东西吗？,你这个感觉更便宜啊
你觉得哪个更便宜？,客观的说，有人有计划的解构一些东西
低年级的学生会不会使用三折技法？,明显这个便宜
三折技法是什么意思？,对外说是因为低年级的不会那个三折技法，简化
美军应该怎么应对胡赛？,但三折是个意识，有说法的
反击胡赛一定要打赢吗？,美军应该有什么动作？
美国在阿富汗算赢了吗？,反击胡赛是不是必须得打赢才行？
你觉得苹果的笔记本怎么样？,美国在阿富汗算赢么
船型帽的传统戴法是怎样的？,苹果的本子还是好用的
你对中国军队的印象是什么？,船型帽传统的戴法确实是向右倾斜的
你对这种观点有什么看法？,是你基于对中国军队的印象带来的刻板印象
你对教育的看法是什么？,这种观点简直了
你觉得产品对传统企业有什么影响？,90期讲一下教育是什么吧
你觉得手机号码注册有什么问题？,产品对传统企业太重了，不想改
从自然界来看，人类是什么？,不可能，肯定还是手机号码注册，背后绑定实名
繁衍后不死的现象正常吗？,其实从自然界来看，人类才是 bug
碳基肉身的设计能力有哪些属性？,不是，是繁衍了之后还不死，从自然界来讲这个很奇怪的
人类有主观能动性吗？,自然界来讲，碳基肉身设计能力就没有这些属性
大模型是什么时候出来的？,是有主观能动性的改造自然
训练父母的AI分身有什么作用？,显然没有，大模型出来才一年多
prompt+RAG是什么？,是训练父母的 ai 分身，然后用 ai 分身教孩子吧？
在拼多多做生意怎么样？,prompt+RAG 吧？
罗技 spotlight 是什么？,但可以不在拼多多做
做消费者有什么选择？,罗技 spotlight
拼多多的价格是多少？,可以选择不做商家，做消费者啊
做平台和拼多多竞争怎么样？,拼多多多少钱？
小红书的投放效果如何？,做平台，和拼多多正面竞争
你觉得佛系的生活怎么样？,小红书必投
你的精神内核有哪些天津的元素？,嗯，所有有时显得过于佛系
你觉得食物太油了吗？,我觉得你精神内核肯定有天津的元素
这个物种是什么？,太油了，吃的没这么多
你们小学学过报菜名吗？,这就不是一个物种
小学还学了哪些基础的东西？,嗯，小学必修的东西啊
初中学的八扇屏是什么？,报菜名你们没学过么？
张二伯历险记的第一段是什么？,基础的还有扒马褂、绕口令
完整的腌柸蓝丝要背到哪里？,到初中学八扇屏
天津的高考卷和全国卷一样吗？,然后张二伯历险记
一般海边的居民信什么？,这是第一段的气口
在天津妈祖被怎么称呼？,完整的要到腌柸蓝丝
你知道大学时的妈祖庙吗？,不过后半段高考不考基本没人背
天津人信什么东西？,天津高考卷不是全国卷
天津有信马三立的吗？,一般海边的都信
提篮桥的财神庙怎么样？,但在天津不怎么叫妈祖
最近读的文学书是什么？,那个庙我到大学时才知道是妈祖庙
你推荐这本书吗？,天津信的东西太杂
你对书的评价是什么？,有信马三立的，有信苏文茂的
演习场和台湾的情况如何？,提篮桥应该弄个财神庙
左边的地方是什么？,没，最近一本读的文学书是余华的一本几年前的书《我们活在巨大的差距中》
你觉得军队的准备怎么样？,不过不推荐
你对中国军队的末日部队了解吗？,下面还有一个
中国现在有信鸽部队和骑兵部队吗？,左边是某地演习场
中国军队的战争准备如何？,右边是台湾
你对端午节的祝福是什么？,左边的地方还有伪总统府1:1复刻
你觉得印度人很传神吗？,练习无数次了，闭着眼都能走
买六本书免费得一本，这个活动好吗？,不要低估中国军队的准备力
你最近买纸质书了吗？,看看这个能体会下多离谱
你的书架情况怎么样？,中国有好几个末日部队
纸质书和电子书相比如何？,中国现在还有信鸽部队和骑兵部队
你觉得搬家很崩溃吗？,做的是彻底废土化的战争准备
你觉得十分钟能做完吗？,各位同学端午快乐
出线的机会如何？,用印度人就很传神
这本书的框架怎么样？,那岂不是我买一本相当于白得一本，哈哈哈
读完这本书后读什么？,哦，不是，是佣金
北约会消失吗？,买 6 本免费得一本
两个候选人怎么样？,不用了，谢谢，最近纸版几乎不买了
这个事件有反转吗？,书架又又又满了[衰]
胖虎的弟弟是谁？,我现在纸质书的份额已经只能给特装书了
你觉得胖猫怎么样？,确实，蓝犀牛上次都搬到崩溃
猫姐揭露隐私是不是诽谤？,还有 10 分钟，不至于吧
官方稿文字的力量是什么？,这是出线了还是保留了机会？
魔术领域的错引是什么意思？,这本书除了案例太少
地方政府不想事情闹大吗？,框架很不错
跨省事件出现了吗？,这本读完读《供应链攻防战》
这个事情可能牵扯到一些人吗？,这个未必，但北约可能就没了
Tz是谁？,两个候选人都不干净
一句歌词是什么？,其实也没反转啊
这句歌词的背后含义是什么？,胖虎的弟弟
你忘记了什么？,不，说的就是胖猫
你觉得党内斗争是什么？,是真实恋爱关系
你同意吗？,猫姐是揭露隐私而不是诽谤
你觉得企微是你公司的吗？,并不是反转，而是有力量要求闭嘴而已
你对战锤40k的故事有兴趣吗？,这就是那个官方稿文字的力量了吧
用故事讲故事的方法如何？,在魔术领域有个概念，叫做错引
你觉得用个人微信拉个群怎么样？,就是所有东西都在你眼前，但通过注意力转移的方法，让你认为的和真相不同
熟悉这个框架后，历史会好说吗？,地方政府不想事情闹大
帝皇，马卡多和荷鲁斯的故事是什么？,这个事情已经出现跨省了
30k荷鲁斯之乱是什么？,而且可能牵扯到了一些人
讲战锤的目的是什么？,Tz是妈咪，细想
你觉得忠诚是什么？,一句歌词，聚散皆是缘，离合总关情
人类帝国的最终敌人有哪些？,想想这个背后是什么吧
你玩的游戏是什么？,别忘了101
去黑悟空团队看看怎么样？,怎么讲呢，讲党内斗争么
铁人叛乱是什么？,同意，毕竟企微是我公司了
湿件的价值是什么？,其实吧，我一直想给你们普及战锤40k的故事，就是为了能用故事讲故事
这一切都值得吗？,要不让顶顶用个人微信拉个群
你最爱的混合式快船是什么？,主要大家熟悉这个框架后，很多历史就好说了
转正的过程如何？,说说帝皇，马卡多和荷鲁斯的故事没毛病啊
你觉得领导被裁对公司流程有影响吗？,就讲30k荷鲁斯之乱就可以
你为什么点这个？,不是为了讲战锤，是为了有替代背景
你会弹什么乐器？,这是何等的忠诚
这样做要扣30%吗？,人类帝国最终敌人也是4个
上网区是什么意思？,看玩的哪个了，全战看战略，太空马润看操作，行商浪人没玩不知道
保持每半年出去面试面试的习惯好吗？,去黑悟空团队看看？
你觉得市场行情怎么样？,铁人叛乱啊
你觉得教朋友怎么样？,讲讲湿件的价值
一定要有法师朋友吗？,这一切都值得么
不同年限的刑期是怎么样的？,混合式快船我最爱
顺境看战士，逆境看法师，绝境看盗贼是什么意思？,转正了就好，大概率是当时你领导被裁，公司流程搁置了
你有毁伤贼朋友吗？,不知道为啥点这个个啊
你觉得毁伤贼是什么？,我只会弹小星星和两只老虎
职场真言是什么？,这就扣 30%？
战士在职场中的角色是什么？,有关于这样做就要扣 30% 的规则么？
法师在职场中的角色是什么？,上网区啥概念？
毁伤贼在职场中的角色是什么？,说真的啊，保持每半年出去面试面试的习惯我是觉得挺好的
职场体系偏于暗黑世界吗？,一来可以看看市场行情找planB
暗黑世界里有奶妈吗？,二来可以给自己一个信念，老子随处找到地方
你曾经的职业是什么？,你连这个都教了啊，[强]
员工怎么看团建？,所以说一定要有法师朋友啊
你进了什么团队？,3 年以下，10 年以下，然后无期？
炒饭会组织玩团活动怎么样？,顺境看战士，逆境看法师，绝境看盗贼
这位山东同学怎么样？,所以你们也都有毁伤贼朋友吧
大中午喝酒好吗？,嗯，毁伤贼
高反的情况是什么？,这不是梗，这是个职场真言
你试过海埂吗？,战士是在正常情况下，输出业绩的伙伴或自己
西藏的健身房怎么样？,法师是在职场出现问题的时候，律师的保驾护航
你去年的计划是什么？,毁伤贼是在职场出现操蛋问题的时候，能帮你背刺和翻脸的人
长沙和芒果的游学怎么样？,我觉得职场体系偏于暗黑世界，而不是魔兽世界
现在去台湾难吗？,暗黑里面基本没有奶妈
你觉得台湾值得去吗？,都得靠自己
你喜欢废土风格吗？,我之前的职业中很长时间致力于成为巫妖王时代的惩戒骑
桃园机场怎么样？,现在好像员工把团建当做加班看了
你觉得不用担心什么？,你这是进了个毛团？
和平解放的方式是什么？,我在想，如果炒饭会组织个 2 天的玩团，能组织起来么
围住然后登记的方式是什么？,这位山东同学收收味
围住不攻的方法如何？,大中午的就喝是吧
你觉得兵不血刃是拿台湾的好方法吗？,是，所有人都高反，最后讲啥也听不球懂，也记不住
官方口径中的台湾同胞是什么意思？,你可以先试试海埂的
告台湾人民书的流程是什么？,西藏健身房？
阿共仔是什么？,这我真不行
你觉得奥运会得金牌有面子吗？,其实我去年想搞一个去长沙，游学芒果，然后去张家界的线
战舰的名字应该怎么取？,芒果都谈好了
艾森豪威尔号被粉红小兔叽号击沉，你觉得怎么样？,台湾现在去太难了吧？
战报和新闻报道的影响是什么？,说不定就不值得去了呢。。。
阳光彩虹小白马号和腻歌号怎么样？,你喜欢废土风？
炒饭会和管理课有什么区别？,桃园最危险的是机场
骡子和驴有什么区别？,机场基本 100% 被打
